Song Library
Title,Artist,Genre,Mood,Energy
"See You Again","Charlie Puth","Pop","Happy","Medium"
"Counting Stars","OneRepublic","Pop","Happy","High"
"Roar","Katy Perry","Pop","Happy","High"
"Can't Stop the Feeling","Justin Timberlake","Pop","Happy","High"
"Good Feeling","Flo Rida","Pop","Happy","High"
"Fireflies","Owl City","Pop","Chill","Low"
"Love Story","Taylor Swift","Pop","Chill","Low"
"A Thousand Years","Christina Perri","Pop","Chill","Low"
"Who Says","Selena Gomez","Pop","Chill","Low"
"Everything Is Awesome","Tegan and Sara","Pop","Happy","Medium"
"Perfect","Ed Sheeran","Pop","Sad","Low"
"Count on Me","Bruno Mars","Pop","Happy","Low"
"Happy","Pharrell Williams","Pop","Happy","High"
"Brave","Sara Bareilles","Pop","Happy","Medium"
"Shake It Off","Taylor Swift","Pop","Happy","High"
"Uptown Funk","Mark Ronson ft. Bruno Mars","Pop","Happy","High"
"Best Day of My Life","American Authors","Pop","Happy","High"
"Walking on Sunshine","Katrina and the Waves","Rock","Happy","High"
"You Make My Dreams","Daryl Hall & John Oates","Rock","Happy","High"
"I'm Yours","Jason Mraz","Folk","Happy","Medium"
"Ho Hey","The Lumineers","Folk","Happy","Medium"
"Home","Phillip Phillips","Folk","Chill","Low"
"Landslide","Fleetwood Mac","Rock","Chill","Low"
"Banana Pancakes","Jack Johnson","Rock","Chill","Low"
"Blackbird","The Beatles","Rock","Chill","Low"
"Drops of Jupiter","Train","Rock","Chill","Medium"
"Hey, Soul Sister","Train","Rock","Happy","High"
"Here Comes the Sun","The Beatles","Rock","Happy","Low"
"Three Little Birds","Bob Marley & The Wailers","Rock","Chill","Low"
"No Such Thing","John Mayer","Rock","Happy","Medium"
"Good Riddance (Time of Your Life)","Green Day","Rock","Sad","Low"
"Fix You","Coldplay","Rock","Sad","Low"
"Chasing Cars","Snow Patrol","Rock","Sad","Low"
"I Won't Give Up","Jason Mraz","Folk","Sad","Low"
"The A Team","Ed Sheeran","Pop","Sad","Low"
"When You Say Nothing at All","Alison Krauss","Folk","Sad","Low"
"I'm Gonna Be (500 Miles)","The Proclaimers","Rock","Happy","High"
"Daylight","Matt & Kim","Pop","Happy","High"
"Best of My Love","The Emotions","Pop","Happy","High"
"Shake It Out","Florence + The Machine","Rock","Intense","High"
"Dog Days Are Over","Florence + The Machine","Rock","Happy","High"
"Send Me On My Way","Rusted Root","Rock","Happy","Medium"
"Island In The Sun","Weezer","Rock","Happy","Medium"
"I Got You (I Feel Good)","James Brown","Rock","Happy","High"
"Pocketful of Sunshine","Nicole Scherzinger","Pop","Happy","High"
"Brighter Than Sunshine","Aquarium Rescue Unit","Rock","Happy","Medium"
"Good Life","OneRepublic","Pop","Happy","Medium"
"Breakaway","Kelly Clarkson","Pop","Happy","High"
"Unwritten","Natasha Bedingfield","Pop","Happy","High"
"Better Together","Jack Johnson","Folk","Chill","Low"
"Bubbly","Colbie Caillat","Pop","Chill","Low"
"Yellow","Coldplay","Rock","Chill","Medium"
"Slow Dancing in a Burning Room","John Mayer","Rock","Sad","Medium"
"Take On Me","a-ha","Pop","Happy","High"
"Some Nights","Fun","Pop","Happy","High"
"Homeward Bound","Simon & Garfunkel","Folk","Chill","Low"
"California Dreamin'","The Mamas & The Papas","Folk","Chill","Low"
"Harvest Moon","Neil Young","Folk","Chill","Low"
"The Sound of Silence","Simon & Garfunkel","Folk","Sad","Low"
"Let Her Go","Passenger","Folk","Sad","Low"
"I Will Follow You Into the Dark","Death Cab for Cutie","Folk","Sad","Low"
"Hallelujah","Jeff Buckley","Folk","Sad","Low"
"Here Without You","3 Doors Down","Rock","Sad","Low"
"Iris","Goo Goo Dolls","Rock","Sad","Low"
"Mr. Brightside","The Killers","Rock","Happy","High"
"All Star","Smash Mouth","Rock","Happy","High"
"Walking On A Dream","Empire of the Sun","EDM","Happy","High"
"Wake Me Up","Avicii","EDM","Happy","High"
"Good Time","Owl City & Carly Rae Jepsen","Pop","Happy","High"
"Feel Again","OneRepublic","Pop","Happy","High"
